CO_ANO;CO_MES;CO_NCM;CO_UNID;CO_PAIS;SG_UF_NCM;CO_VIA;CO_URF;QT_ESTAT;KG_LIQUIDO;VL_FOB
2025;09;84713019;11;063;SP;07;1017500;42;13;608
2025;04;04061090;10;741;PR;01;0917800;6;6;39
2025;09;39012029;10;158;RS;01;1017700;579875;579875;533449
2025;12;85176294;11;245;SC;01;0927800;3;1;324
2025;10;30064012;10;576;SC;04;0817600;15;15;2114
2025;11;62045300;11;249;PR;04;0817700;1;1;83
2025;07;69120000;10;249;SC;01;0927700;5401;5401;233568
2025;07;93033000;11;833;RS;04;0817600;500;900;135000
2025;09;84818092;11;850;SP;04;0817700;26;29;4901
2025;10;21032010;10;163;ES;01;0727600;18;18;47
2025;02;70072100;11;158;MG;04;0817700;10;95;685
2025;03;69072200;15;720;SP;01;0817800;7592;103553;21132
2025;07;39249000;10;361;SP;04;0817600;2;2;0
2025;05;87089529;11;756;SP;01;0817800;5400;848;36558
2025;03;32082019;10;845;SP;07;1010351;6178;6178;36008
2025;05;85168090;11;169;SC;04;0817700;22;3;1390
2025;04;07039010;10;190;ES;01;0717800;10;10;30
2025;11;87162000;11;063;RS;07;1017500;2;6481;17683
2025;03;15171000;10;434;MA;01;0317903;24;24;27
2025;08;49111090;10;505;PR;01;0917800;32;32;1080
2025;12;84484200;11;586;SC;07;0917500;11;3;673
2025;09;03061690;10;301;RJ;01;0717800;30;30;276
2025;09;17049020;10;351;SP;01;0817800;1;1;4
2025;08;73181500;10;845;PR;07;1010351;1;1;6
2025;09;04011010;10;741;RS;01;1017700;48;48;42
2025;10;56031120;10;386;SP;04;0817600;20;20;120
2025;07;73181500;10;249;RJ;04;0817700;23;23;149618
2025;11;08043000;10;293;RJ;01;0717600;80;80;291
2025;12;07099300;10;476;SC;01;1017700;68;68;65
2025;04;19041000;10;586;SC;07;0917501;475;475;2696
2025;02;20081100;10;580;MA;01;0317903;51;51;204
2025;03;25232910;10;169;AM;07;0227603;487900;487900;106554
