"CO_ANO;""CO_MES"";""CO_NCM"";""CO_UNID"";""CO_PAIS"";""SG_UF_NCM"";""CO_VIA"";""CO_URF"";""QT_ESTAT"";""KG_LIQUIDO"";""VL_FOB"";""VL_FRETE"";""VL_SEGURO"""
"2025;""10"";""65061000"";""11"";""386"";""SC"";""01"";""0927800"";1;2;290;2;0"
"2025;""04"";""34031900"";""10"";""023"";""SC"";""01"";""0927700"";1887;1887;8127;81;1"
"2025;""01"";""39233090"";""10"";""275"";""PR"";""04"";""0817700"";0;0;5;1;0"
"2025;""12"";""84811000"";""11"";""160"";""SC"";""04"";""0817700"";161;33;4712;599;13"
"2025;""10"";""73182900"";""10"";""365"";""SP"";""04"";""0817600"";0;0;1;0;0"
"2025;""10"";""73181500"";""10"";""160"";""SC"";""01"";""0227600"";9370;9370;41676;4932;0"
"2025;""12"";""39269090"";""10"";""776"";""GO"";""01"";""0817800"";1062;1062;21636;603;9"
"2025;""09"";""84829990"";""10"";""023"";""SP"";""04"";""0817700"";82;82;21867;809;6"
"2025;""02"";""54072000"";""10"";""160"";""SP"";""01"";""0917800"";25770;25770;69838;5917;148"
"2025;""10"";""17049020"";""10"";""361"";""RJ"";""01"";""0817800"";16292;16292;59807;19000;14"
"2025;""12"";""84831019"";""11"";""072"";""SP"";""01"";""0817900"";1760;20944;52319;1524;7"
"2025;""06"";""65040010"";""10"";""160"";""AL"";""01"";""0817800"";589;589;2363;176;0"
"2025;""06"";""84798912"";""11"";""160"";""MG"";""04"";""0617700"";14;23;2551;500;2"
"2025;""05"";""12077010"";""10"";""249"";""SP"";""04"";""0817700"";54;54;93140;1895;17"
"2025;""04"";""85234920"";""11"";""190"";""MG"";""04"";""0817600"";1;1;27;4;0"
"2025;""04"";""73079900"";""10"";""756"";""SP"";""04"";""0817600"";1;1;34;12;0"
"2025;""04"";""84149020"";""10"";""160"";""RS"";""01"";""1017700"";13641;13641;28200;4321;15"
"2025;""07"";""84229090"";""10"";""386"";""PR"";""04"";""0917900"";106;106;46382;3049;52"
"2025;""06"";""88072000"";""10"";""160"";""ES"";""04"";""0817600"";34;34;1691;644;4"
