CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,nm_estado,id_country,id_urf,id_product
2025,4,4061090,10,741,PR,1,917800,6,6,39,Paraná,SINGAPURA,PARANAGUA,LACTEOS
2025,10,21032010,10,163,ES,1,727600,18,18,47,Espírito Santo,CHIPRE,VITORIA,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,4,7039010,10,190,ES,1,717800,10,10,30,Espírito Santo,COREIA_DO_SUL,ITAGUAI,HF_LEGUMES_TEMPEROS
2025,11,87162000,11,63,RS,7,1017500,2,6481,17683,Rio Grande do Sul,ARGENTINA,URUGUAIANA,MAQUINAS_AGRICOLAS
2025,3,15171000,10,434,MA,1,317903,24,24,27,Maranhão,LIBERIA,SAO_LUIS,OLEOS_VEGETAIS
2025,9,3061690,10,301,RJ,1,717800,30,30,276,Rio de Janeiro,GRECIA,ITAGUAI,CARNES
2025,9,17049020,10,351,SP,1,817800,1,1,4,São Paulo,HONG_KONG,SANTOS,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,9,4011010,10,741,RS,1,1017700,48,48,42,Rio Grande do Sul,SINGAPURA,RIO_GRANDE,LACTEOS
2025,11,8043000,10,293,RJ,1,717600,80,80,291,Rio de Janeiro,GIBRALTAR,RIO_DE_JANEIRO,FRUTAS
2025,12,7099300,10,476,SC,1,1017700,68,68,65,Santa Catarina,MARSHALL_ILHAS,RIO_GRANDE,HF_LEGUMES_TEMPEROS
2025,4,19041000,10,586,SC,7,917501,475,475,2696,Santa Catarina,PARAGUAI,GUAIRA,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,2,20081100,10,580,MA,1,317903,51,51,204,Maranhão,PANAMA,SAO_LUIS,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,3,7070000,10,434,RJ,1,717600,211,211,266,Rio de Janeiro,LIBERIA,RIO_DE_JANEIRO,HF_LEGUMES_TEMPEROS
2025,9,16042010,10,232,RJ,1,717800,3,3,49,Rio de Janeiro,DINAMARCA,ITAGUAI,PREPARACOES_ALIMENTICIAS_CONSERVAS
2025,8,2032900,10,795,GO,1,927700,27000,27000,77145,Goiás,TIMOR_LESTE,SAO_FRANCISCO_DO_SUL,CARNES
2025,8,12024200,10,580,PR,1,927502,10,10,46,Paraná,PANAMA,IMBITUBA,AMENDOIM
2025,3,11022000,10,158,MG,1,817800,780,780,1417,Minas Gerais,CHILE,SANTOS,FARINHAS
2025,9,15121911,10,434,ES,1,710251,65,65,261,Espírito Santo,LIBERIA,CAMPOS_DOS_GOYTACAZES,OLEOS_VEGETAIS
2025,6,20081900,10,586,SP,15,917500,34,34,94,São Paulo,PARAGUAI,FOZ_DO_IGUACU,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,9,15079011,21,275,ES,1,727600,0,113,330,Espírito Santo,FRANCA,VITORIA,OLEOS_VEGETAIS
2025,12,20019000,10,538,RJ,1,717600,20,20,203,Rio de Janeiro,NORUEGA,RIO_DE_JANEIRO,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,4,23099010,10,301,RS,1,1017700,23425,23425,32523,Rio Grande do Sul,GRECIA,RIO_GRANDE,FARELOS_TORTAS_PREPARACOES_PARA_ALIMENTACAO_ANIMAL
2025,7,19053100,10,158,SP,7,1017500,91268,91268,370281,São Paulo,CHILE,URUGUAIANA,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,12,8093010,10,434,RJ,1,717800,62,62,276,Rio de Janeiro,LIBERIA,ITAGUAI,FRUTAS
2025,4,3049900,10,301,RJ,1,717600,50,50,318,Rio de Janeiro,GRECIA,RIO_DE_JANEIRO,CARNES
2025,3,10063011,10,845,SP,1,817800,2460,2460,2335,São Paulo,URUGUAI,SANTOS,ARROZ
2025,6,9041200,10,741,SP,1,812051,2,2,21,São Paulo,SINGAPURA,SAO_SEBASTIAO,HF_LEGUMES_TEMPEROS
2025,4,2032900,10,40,GO,1,927700,44560,44560,84282,Goiás,ANGOLA,SAO_FRANCISCO_DO_SUL,CARNES
2025,5,2064900,10,756,MG,1,927700,19410,19410,16209,Minas Gerais,AFRICA_DO_SUL,SAO_FRANCISCO_DO_SUL,CARNES
2025,6,41071220,15,160,RS,4,817700,28,32,75,Rio Grande do Sul,CHINA,CAMPINAS,COUROS_PELES
2025,7,2023000,10,438,TO,1,817800,354975,354975,1442897,Tocantins,LIBIA,SANTOS,CARNES
2025,6,8039000,10,580,AM,1,227600,50,50,181,Amazonas,PANAMA,MANAUS,FRUTAS
2025,8,7039090,10,301,RJ,1,717600,50,50,294,Rio de Janeiro,GRECIA,RIO_DE_JANEIRO,HF_LEGUMES_TEMPEROS
2025,12,62063000,11,196,RJ,4,817600,38,9,1564,Rio de Janeiro,COSTA_RICA,SAO_PAULO,VESTUARIO
2025,9,7093000,10,351,SC,1,1017700,40,40,62,Santa Catarina,HONG_KONG,RIO_GRANDE,HF_LEGUMES_TEMPEROS
2025,11,43021910,11,858,RS,4,817600,170,216,8633,Rio Grande do Sul,VIETNA,SAO_PAULO,ARTIGOS_COUROS_PELES
2025,6,4011090,10,476,SP,1,812051,12,12,32,São Paulo,MARSHALL_ILHAS,SAO_SEBASTIAO,LACTEOS
2025,5,19059090,10,163,SC,1,927700,22,22,63,Santa Catarina,CHIPRE,SAO_FRANCISCO_DO_SUL,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,3,45049000,10,169,SP,4,817600,1,1,20,São Paulo,COLOMBIA,SAO_PAULO,CORTICA
2025,2,18069000,10,63,PR,7,1017500,89787,89787,674605,Paraná,ARGENTINA,URUGUAIANA,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,7,22089000,17,351,MA,1,317903,2,2,12,Maranhão,HONG_KONG,SAO_LUIS,BEBIDAS_ALCOOLICAS
2025,10,2071100,10,351,SP,1,817800,360,360,856,São Paulo,HONG_KONG,SANTOS,CARNES
2025,7,3035400,10,77,SC,1,917800,40,40,155,Santa Catarina,BAHAMAS,PARANAGUA,CARNES
2025,11,10059010,10,190,PR,1,917800,61310483,61310483,12698619,Paraná,COREIA_DO_SUL,PARANAGUA,MILHO
2025,1,17011400,21,438,SP,1,817800,180,180000,114708,São Paulo,LIBIA,SANTOS,ACUCAR_ADOCANTES
2025,5,84329000,10,23,RS,1,927700,7063,7063,120308,Rio Grande do Sul,ALEMANHA,SAO_FRANCISCO_DO_SUL,MAQUINAS_AGRICOLAS
2025,4,4072100,20,741,MA,1,317903,22,22,57,Maranhão,SINGAPURA,SAO_LUIS,OVOS
2025,7,4090000,10,580,ES,1,727600,12,12,155,Espírito Santo,PANAMA,VITORIA,MEL
2025,5,19059020,10,580,AM,1,227600,33,33,253,Amazonas,PANAMA,MANAUS,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,2,22060090,17,586,SC,7,147700,2880,2880,1426,Santa Catarina,PARAGUAI,MUNDO_NOVO,BEBIDAS_ALCOOLICAS
2025,7,7095900,10,776,PR,1,917800,10,10,25,Paraná,TAILANDIA,PARANAGUA,HF_LEGUMES_TEMPEROS
2025,9,4069020,10,232,RJ,1,717600,3,3,37,Rio de Janeiro,DINAMARCA,RIO_DE_JANEIRO,LACTEOS
2025,7,41079910,15,391,RS,4,1017801,2355,1520,33814,Rio Grande do Sul,JAMAICA,PORTO_ALEGRE,COUROS_PELES
2025,1,19023000,10,467,SP,1,817800,60,60,332,São Paulo,MALTA,SANTOS,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,6,31052000,10,845,RS,7,1010351,78000,78000,32922,Rio Grande do Sul,URUGUAI,SANTANA_DO_LIVRAMENTO,FERTILIZANTES
2025,6,8045020,10,434,SP,1,812051,30,30,46,São Paulo,LIBERIA,SAO_SEBASTIAO,FRUTAS
